,index,tconst,primaryTitle,averageRating,numVotes,startYear,first,second,third,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,News,Reality-TV,Romance,Sci-Fi,Sport,Thriller,War,Western,groupe
53,53,tt0099142,BlackJack,5.7,1723,1990,Drama,Music,,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
54,54,tt0099151,Blood Games,5.4,1423,1990,Action,Horror,Thriller,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2
55,55,tt0099165,The Bonfire of the Vanities,5.6,26255,1990,Comedy,Drama,Romance,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
56,56,tt0099166,Book of Love,6.1,1240,1990,Comedy,Romance,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
57,57,tt0099173,Brain Dead,5.9,5219,1990,Horror,Mystery,Sci-Fi,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,2
58,58,tt0099180,Bride of Re-Animator,6.2,17085,1990,Comedy,Horror,Sci-Fi,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2
59,59,tt0099204,Cadillac Man,5.7,15209,1990,Comedy,Crime,,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
60,60,tt0099253,Child's Play 2,5.9,55889,1990,Horror,Thriller,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2
61,61,tt0099260,China O'Brien,5.2,1372,1990,Action,Crime,Drama,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
62,62,tt0099266,My Mother's Castle,7.6,5502,1990,Adventure,Biography,Comedy,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
63,63,tt0099273,City Life,6.7,2641,1990,Documentary,Drama,,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
64,64,tt0099277,Class of 1999,5.9,8347,1990,Action,Horror,Sci-Fi,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2
65,65,tt0099291,Come See the Paradise,6.7,2992,1990,Drama,Romance,War,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2
66,66,tt0099292,The Comfort of Strangers,6.3,6135,1990,Crime,Drama,Fantasy,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
67,67,tt0099293,The Comies,5.8,1575,1990,Comedy,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
68,68,tt0099310,Coupe de Ville,6.7,2623,1990,Comedy,Drama,,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
69,69,tt0099312,Cover-Up,4.4,1535,1991,Action,Adventure,Drama,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
70,70,tt0099316,Crazy People,6.0,4881,1990,Comedy,Drama,,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
71,71,tt0099327,A Cry in the Wild,5.8,1120,1990,Action,Adventure,Thriller,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
72,72,tt0099329,Cry-Baby,6.5,63532,1990,Comedy,Musical,,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
